,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
GFC - 11,0.604,0.725,0.0876,0.8007,0.8608,0.0567,0.0393,0.5828,0.6462,0.4438,0.3573,0.2323,0.3125,966.0,152.0,682.0,51.0,367.0,33.0,204.0,15.0,599.0,119.0,478.0,36.0,0.7702,0.6998,0.9225,0.8742,0.9315
GFC - 17,0.4765,0.1215,0.7226,0.0329,0.0258,0.9315,0.937,0.516,0.4,0.3226,0.1935,0.4927,0.621,67.0,815.0,26.0,943.0,25.0,227.0,6.0,372.0,42.0,588.0,20.0,571.0,0.1168,0.1244,0.0492,0.0508,0.9619
GFC + EOP - 3,0.5705,0.7104,0.0846,0.9014,0.9048,0.0412,0.0519,0.5556,0.6003,0.4534,0.3965,0.3214,0.4419,975.0,81.0,749.0,46.0,347.0,24.0,228.0,19.0,628.0,57.0,521.0,27.0,0.7375,0.6962,0.9304,0.9319,0.935
GFC + EOP - 11,0.6018,0.7214,0.0943,0.8023,0.8228,0.0583,0.0681,0.5812,0.643,0.4448,0.3539,0.2387,0.3824,954.0,160.0,674.0,63.0,356.0,42.0,195.0,26.0,598.0,118.0,479.0,37.0,0.7631,0.6986,0.8901,0.8742,0.9008
GFC + EOP - 17,0.4803,0.1487,0.7074,0.0411,0.0472,0.9038,0.937,0.5258,0.3921,0.2976,0.3056,0.4872,0.6263,84.0,805.0,36.0,926.0,25.0,222.0,11.0,372.0,59.0,583.0,25.0,554.0,0.1155,0.1693,0.0571,0.0688,0.9451
GFC + CEOP - 3,0.4106,0.1065,0.7679,0.192,0.0952,0.9298,0.9481,0.4161,0.3997,0.707,0.5581,0.566,0.6035,65.0,695.0,135.0,956.0,19.0,228.0,24.0,347.0,46.0,467.0,111.0,609.0,0.0929,0.1133,0.0696,0.1273,0.9198
GFC + CEOP - 11,0.3944,0.0849,0.7821,0.2161,0.1139,0.9449,0.9555,0.4083,0.3667,0.7866,0.6136,0.5618,0.6348,52.0,678.0,156.0,965.0,17.0,210.0,27.0,365.0,35.0,468.0,129.0,600.0,0.0798,0.0876,0.0711,0.1331,0.9237
GFC + CEOP - 17,0.3706,0.1825,0.7024,0.3717,0.2532,0.8564,0.8942,0.3849,0.3429,0.7197,0.5842,0.5788,0.6711,130.0,556.0,285.0,880.0,42.0,174.0,59.0,355.0,88.0,382.0,226.0,525.0,0.1687,0.1899,0.1603,0.2572,0.8863
GFC + ROC - 3,0.4306,0.0738,0.78,0.1038,0.0595,0.9573,0.9617,0.4428,0.4061,0.6818,0.5172,0.5476,0.5976,42.0,755.0,75.0,979.0,14.0,237.0,15.0,352.0,28.0,518.0,60.0,627.0,0.0709,0.0754,0.0469,0.0714,0.9514
GFC + ROC - 11,0.4046,0.0832,0.7806,0.1792,0.1181,0.9465,0.9581,0.4253,0.3635,0.7589,0.6364,0.5509,0.6365,50.0,699.0,135.0,967.0,16.0,209.0,28.0,366.0,34.0,490.0,107.0,601.0,0.0751,0.0876,0.0711,0.1144,0.9348
GFC + ROC - 17,0.3987,0.0824,0.7758,0.2007,0.133,0.9429,0.9622,0.4267,0.3444,0.7771,0.6739,0.5432,0.6541,50.0,688.0,153.0,960.0,15.0,202.0,31.0,382.0,35.0,486.0,122.0,578.0,0.0677,0.0909,0.073,0.1286,0.9317
PR - 3,0.3285,0.2925,0.5912,0.6505,0.4087,0.7206,0.7978,0.3122,0.3608,0.6726,0.5819,0.7003,0.6621,257.0,351.0,479.0,764.0,74.0,149.0,103.0,292.0,183.0,202.0,376.0,472.0,0.2726,0.3015,0.2864,0.4534,0.8297
